policy,value,run,phase,items,rss,block_size,pages,live_block_bytes,initialized_block_capacity_bytes,reserved_block_capacity_bytes
slabs,u64,3,before_collect,3906250,86654976,80,1,4080,4080,65520
slabs,u64,3,before_collect,3906250,86654976,2048,1091,68032512,71499776,71499776
slabs,u64,3,before_collect,3906250,86654976,16,1,16,4096,65520
slabs,u64,3,before_collect,3906250,86654976,112,1,112,4032,65520
slabs,u64,3,before_collect,3906250,86654976,32,1,416,4096,65504
slabs,u64,3,before_collect,3906250,86654976,1024,1,2048,4096,65536
slabs,u64,3,before_collect,3906250,86654976,2359296,1,2359296,2359296,2359296
slabs,u64,3,before_collect,3906250,86654976,8192,1,8192,16384,65536
slabs,u64,3,before_collect,3906250,86654976,96,87,5670624,5670912,5696064
slabs,u64,3,before_collect,3906250,86654976,16384,1,16384,32768,524288
slabs,u64,3,before_collect,3906250,86654976,384,1,384,3840,65280
slabs,u64,3,before_collect,3906250,86654976,32768,1,32768,65536,524288
slabs,u64,3,before_collect,3906250,86654976,65536,1,65536,131072,524288
slabs,u64,3,before_collect,3906250,86654976,131072,1,131072,131072,4194304
slabs,u64,3,before_collect,3906250,86654976,128,1,0,4096,65408
slabs,u64,3,before_collect,3906250,86654976,256,1,0,4096,65280
slabs,u64,3,before_collect,3906250,86654976,512,1,0,4096,65024
slabs,u64,3,after_collect,3906250,86654976,8,1,8,4096,65528
slabs,u64,3,after_collect,3906250,86654976,64,1,192,4096,65472
slabs,u64,3,after_collect,3906250,86654976,640,1,640,3840,65280
slabs,u64,3,after_collect,3906250,86654976,80,1,4080,4080,65520
slabs,u64,3,after_collect,3906250,86654976,2048,1091,68032512,71499776,71499776
slabs,u64,3,after_collect,3906250,86654976,16,1,16,4096,65520
slabs,u64,3,after_collect,3906250,86654976,112,1,112,4032,65520
slabs,u64,3,after_collect,3906250,86654976,32,1,416,4096,65504
slabs,u64,3,after_collect,3906250,86654976,1024,1,2048,4096,65536
slabs,u64,3,after_collect,3906250,86654976,2359296,1,2359296,2359296,2359296
slabs,u64,3,after_collect,3906250,86654976,8192,1,8192,16384,65536
slabs,u64,3,after_collect,3906250,86654976,96,87,5670624,5670912,5696064
slabs,u64,3,after_collect,3906250,86654976,16384,1,16384,32768,524288
slabs,u64,3,after_collect,3906250,86654976,384,1,384,3840,65280
slabs,u64,3,after_collect,3906250,86654976,32768,1,32768,65536,524288
slabs,u64,3,after_collect,3906250,86654976,65536,1,65536,131072,524288
slabs,u64,3,after_collect,3906250,86654976,131072,1,131072,131072,4194304
slabs,packed,1,before_collect,3906250,85491712,8,1,8,4096,65528
slabs,packed,1,before_collect,3906250,85491712,64,1,192,4096,65472
slabs,packed,1,before_collect,3906250,85491712,640,1,640,3840,65280
slabs,packed,1,before_collect,3906250,85491712,80,1,4080,4080,65520
slabs,packed,1,before_collect,3906250,85491712,2048,1080,70733824,70778880,70778880
slabs,packed,1,before_collect,3906250,85491712,32,1,480,4096,65504
slabs,packed,1,before_collect,3906250,85491712,112,1,112,4032,65520
slabs,packed,1,before_collect,3906250,85491712,1024,1,1024,4096,65536
slabs,packed,1,before_collect,3906250,85491712,2359296,1,2359296,2359296,2359296
slabs,packed,1,before_collect,3906250,85491712,8192,1,8192,16384,65536
slabs,packed,1,before_collect,3906250,85491712,96,81,5301216,5302272,5303232
slabs,packed,1,before_collect,3906250,85491712,16384,1,16384,32768,524288
slabs,packed,1,before_collect,3906250,85491712,384,1,384,3840,65280
slabs,packed,1,before_collect,3906250,85491712,32768,1,32768,65536,524288
slabs,packed,1,before_collect,3906250,85491712,65536,1,65536,131072,524288
slabs,packed,1,before_collect,3906250,85491712,131072,1,131072,131072,4194304
slabs,packed,1,after_collect,3906250,85491712,8,1,8,4096,65528
slabs,packed,1,after_collect,3906250,85491712,64,1,192,4096,65472
slabs,packed,1,after_collect,3906250,85491712,640,1,640,3840,65280
slabs,packed,1,after_collect,3906250,85491712,80,1,4080,4080,65520
slabs,packed,1,after_collect,3906250,85491712,2048,1080,70733824,70778880,70778880
slabs,packed,1,after_collect,3906250,85491712,32,1,480,4096,65504
slabs,packed,1,after_collect,3906250,85491712,112,1,112,4032,65520
slabs,packed,1,after_collect,3906250,85491712,1024,1,1024,4096,65536
slabs,packed,1,after_collect,3906250,85491712,2359296,1,2359296,2359296,2359296
slabs,packed,1,after_collect,3906250,85491712,8192,1,8192,16384,65536
slabs,packed,1,after_collect,3906250,85491712,96,81,5301216,5302272,5303232
slabs,packed,1,after_collect,3906250,85491712,16384,1,16384,32768,524288
slabs,packed,1,after_collect,3906250,85491712,384,1,384,3840,65280
slabs,packed,1,after_collect,3906250,85491712,32768,1,32768,65536,524288
slabs,packed,1,after_collect,3906250,85491712,65536,1,65536,131072,524288
slabs,packed,1,after_collect,3906250,85491712,131072,1,131072,131072,4194304
slabs,packed,2,before_collect,3906250,85491712,8,1,8,4096,65528
slabs,packed,2,before_collect,3906250,85491712,64,1,192,4096,65472
slabs,packed,2,before_collect,3906250,85491712,640,1,640,3840,65280
slabs,packed,2,before_collect,3906250,85491712,80,1,4080,4080,65520
slabs,packed,2,before_collect,3906250,85491712,2048,1080,70733824,70778880,70778880
slabs,packed,2,before_collect,3906250,85491712,32,1,480,4096,65504
slabs,packed,2,before_collect,3906250,85491712,112,1,112,4032,65520
slabs,packed,2,before_collect,3906250,85491712,1024,1,1024,4096,65536
slabs,packed,2,before_collect,3906250,85491712,2359296,1,2359296,2359296,2359296
slabs,packed,2,before_collect,3906250,85491712,8192,1,8192,16384,65536
slabs,packed,2,before_collect,3906250,85491712,96,81,5301216,5302272,5303232
slabs,packed,2,before_collect,3906250,85491712,16384,1,16384,32768,524288
slabs,packed,2,before_collect,3906250,85491712,384,1,384,3840,65280
slabs,packed,2,before_collect,3906250,85491712,32768,1,32768,65536,524288
slabs,packed,2,before_collect,3906250,85491712,65536,1,65536,131072,524288
slabs,packed,2,before_collect,3906250,85491712,131072,1,131072,131072,4194304
slabs,packed,2,after_collect,3906250,85491712,8,1,8,4096,65528
slabs,packed,2,after_collect,3906250,85491712,64,1,192,4096,65472
slabs,packed,2,after_collect,3906250,85491712,640,1,640,3840,65280
slabs,packed,2,after_collect,3906250,85491712,80,1,4080,4080,65520
slabs,packed,2,after_collect,3906250,85491712,2048,1080,70733824,70778880,70778880
slabs,packed,2,after_collect,3906250,85491712,32,1,480,4096,65504
slabs,packed,2,after_collect,3906250,85491712,112,1,112,4032,65520
slabs,packed,2,after_collect,3906250,85491712,1024,1,1024,4096,65536
slabs,packed,2,after_collect,3906250,85491712,2359296,1,2359296,2359296,2359296
slabs,packed,2,after_collect,3906250,85491712,8192,1,8192,16384,65536
slabs,packed,2,after_collect,3906250,85491712,96,81,5301216,5302272,5303232
slabs,packed,2,after_collect,3906250,85491712,16384,1,16384,32768,524288
slabs,packed,2,after_collect,3906250,85491712,384,1,384,3840,65280
slabs,packed,2,after_collect,3906250,85491712,32768,1,32768,65536,524288
slabs,packed,2,after_collect,3906250,85491712,65536,1,65536,131072,524288
slabs,packed,2,after_collect,3906250,85491712,131072,1,131072,131072,4194304
slabs,packed,3,before_collect,3906250,85491712,8,1,8,4096,65528
slabs,packed,3,before_collect,3906250,85491712,64,1,192,4096,65472
slabs,packed,3,before_collect,3906250,85491712,640,1,640,3840,65280
slabs,packed,3,before_collect,3906250,85491712,80,1,4080,4080,65520
slabs,packed,3,before_collect,3906250,85491712,2048,1080,70733824,70778880,70778880
slabs,packed,3,before_collect,3906250,85491712,32,1,480,4096,65504
slabs,packed,3,before_collect,3906250,85491712,112,1,112,4032,65520
slabs,packed,3,before_collect,3906250,85491712,1024,1,1024,4096,65536
slabs,packed,3,before_collect,3906250,85491712,2359296,1,2359296,2359296,2359296
slabs,packed,3,before_collect,3906250,85491712,8192,1,8192,16384,65536
slabs,packed,3,before_collect,3906250,85491712,96,81,5301216,5302272,5303232
slabs,packed,3,before_collect,3906250,85491712,16384,1,16384,32768,524288
slabs,packed,3,before_collect,3906250,85491712,384,1,384,3840,65280
slabs,packed,3,before_collect,3906250,85491712,32768,1,32768,65536,524288
slabs,packed,3,before_collect,3906250,85491712,65536,1,65536,131072,524288
slabs,packed,3,before_collect,3906250,85491712,131072,1,131072,131072,4194304
slabs,packed,3,after_collect,3906250,85491712,8,1,8,4096,65528
slabs,packed,3,after_collect,3906250,85491712,64,1,192,4096,65472
slabs,packed,3,after_collect,3906250,85491712,640,1,640,3840,65280
slabs,packed,3,after_collect,3906250,85491712,80,1,4080,4080,65520
slabs,packed,3,after_collect,3906250,85491712,2048,1080,70733824,70778880,70778880
slabs,packed,3,after_collect,3906250,85491712,32,1,480,4096,65504
slabs,packed,3,after_collect,3906250,85491712,112,1,112,4032,65520
slabs,packed,3,after_collect,3906250,85491712,1024,1,1024,4096,65536
slabs,packed,3,after_collect,3906250,85491712,2359296,1,2359296,2359296,2359296
slabs,packed,3,after_collect,3906250,85491712,8192,1,8192,16384,65536
slabs,packed,3,after_collect,3906250,85491712,96,81,5301216,5302272,5303232
slabs,packed,3,after_collect,3906250,85491712,16384,1,16384,32768,524288
slabs,packed,3,after_collect,3906250,85491712,384,1,384,3840,65280
slabs,packed,3,after_collect,3906250,85491712,32768,1,32768,65536,524288
slabs,packed,3,after_collect,3906250,85491712,65536,1,65536,131072,524288
slabs,packed,3,after_collect,3906250,85491712,131072,1,131072,131072,4194304
exact,u64,1,before_collect,3906250,85704704,8,1,8,4096,65528
exact,u64,1,before_collect,3906250,85704704,64,1,192,65472,65472
exact,u64,1,before_collect,3906250,85704704,640,309,3700480,20171520,20171520
exact,u64,1,before_collect,3906250,85704704,768,356,20268288,23239680,23239680
exact,u64,1,before_collect,3906250,85704704,16,1,32,65520,65520
exact,u64,1,before_collect,3906250,85704704,112,1,112,65520,65520
exact,u64,1,before_collect,3906250,85704704,32,1,416,65504,65504
exact,u64,1,before_collect,3906250,85704704,1024,121,7875584,7929856,7929856
exact,u64,1,before_collect,3906250,85704704,2359296,1,2359296,2359296,2359296
exact,u64,1,before_collect,3906250,85704704,8192,1,8192,8192,65536
exact,u64,1,before_collect,3906250,85704704,896,342,22308608,22369536,22369536
exact,u64,1,before_collect,3906250,85704704,512,10,83968,650240,650240
exact,u64,1,before_collect,3906250,85704704,1280,12,759040,783360,783360
exact,u64,1,before_collect,3906250,85704704,448,1,8512,65408,65408
exact,u64,1,after_collect,3906250,85704704,8,1,8,4096,65528
exact,u64,1,after_collect,3906250,85704704,64,1,192,65472,65472
exact,u64,1,after_collect,3906250,85704704,640,309,3700480,20171520,20171520
exact,u64,1,after_collect,3906250,85704704,768,356,20268288,23239680,23239680
exact,u64,1,after_collect,3906250,85704704,16,1,32,65520,65520
exact,u64,1,after_collect,3906250,85704704,112,1,112,65520,65520
exact,u64,1,after_collect,3906250,85704704,32,1,416,65504,65504
exact,u64,1,after_collect,3906250,85704704,1024,121,7875584,7929856,7929856
exact,u64,1,after_collect,3906250,85704704,2359296,1,2359296,2359296,2359296
exact,u64,1,after_collect,3906250,85704704,8192,1,8192,8192,65536
exact,u64,1,after_collect,3906250,85704704,896,342,22308608,22369536,22369536
exact,u64,1,after_collect,3906250,85704704,512,10,83968,650240,650240
exact,u64,1,after_collect,3906250,85704704,1280,12,759040,783360,783360
exact,u64,1,after_collect,3906250,85704704,448,1,8512,65408,65408
exact,u64,2,before_collect,3906250,85704704,8,1,8,4096,65528
exact,u64,2,before_collect,3906250,85704704,64,1,192,65472,65472
exact,u64,2,before_collect,3906250,85704704,640,309,3700480,20171520,20171520
exact,u64,2,before_collect,3906250,85704704,768,356,20268288,23239680,23239680
exact,u64,2,before_collect,3906250,85704704,16,1,32,65520,65520
exact,u64,2,before_collect,3906250,85704704,112,1,112,65520,65520
exact,u64,2,before_collect,3906250,85704704,32,1,416,65504,65504
exact,u64,2,before_collect,3906250,85704704,1024,121,7875584,7929856,7929856
exact,u64,2,before_collect,3906250,85704704,2359296,1,2359296,2359296,2359296
exact,u64,2,before_collect,3906250,85704704,8192,1,8192,8192,65536
exact,u64,2,before_collect,3906250,85704704,896,342,22308608,22369536,22369536
exact,u64,2,before_collect,3906250,85704704,512,10,83968,650240,650240
exact,u64,2,before_collect,3906250,85704704,1280,12,759040,783360,783360
exact,u64,2,before_collect,3906250,85704704,448,1,8512,65408,65408
exact,u64,2,after_collect,3906250,85704704,8,1,8,4096,65528
exact,u64,2,after_collect,3906250,85704704,64,1,192,65472,65472
exact,u64,2,after_collect,3906250,85704704,640,309,3700480,20171520,20171520
exact,u64,2,after_collect,3906250,85704704,768,356,20268288,23239680,23239680
exact,u64,2,after_collect,3906250,85704704,16,1,32,65520,65520
exact,u64,2,after_collect,3906250,85704704,112,1,112,65520,65520
exact,u64,2,after_collect,3906250,85704704,32,1,416,65504,65504
exact,u64,2,after_collect,3906250,85704704,1024,121,7875584,7929856,7929856
exact,u64,2,after_collect,3906250,85704704,2359296,1,2359296,2359296,2359296
exact,u64,2,after_collect,3906250,85704704,8192,1,8192,8192,65536
exact,u64,2,after_collect,3906250,85704704,896,342,22308608,22369536,22369536
exact,u64,2,after_collect,3906250,85704704,512,10,83968,650240,650240
exact,u64,2,after_collect,3906250,85704704,1280,12,759040,783360,783360
exact,u64,2,after_collect,3906250,85704704,448,1,8512,65408,65408
exact,u64,3,before_collect,3906250,85704704,8,1,8,4096,65528
exact,u64,3,before_collect,3906250,85704704,64,1,192,65472,65472
exact,u64,3,before_collect,3906250,85704704,640,309,3700480,20171520,20171520
exact,u64,3,before_collect,3906250,85704704,768,356,20268288,23239680,23239680
exact,u64,3,before_collect,3906250,85704704,16,1,32,65520,65520
exact,u64,3,before_collect,3906250,85704704,112,1,112,65520,65520
exact,u64,3,before_collect,3906250,85704704,32,1,416,65504,65504
exact,u64,3,before_collect,3906250,85704704,1024,121,7875584,7929856,7929856
exact,u64,3,before_collect,3906250,85704704,2359296,1,2359296,2359296,2359296
exact,u64,3,before_collect,3906250,85704704,8192,1,8192,8192,65536
exact,u64,3,before_collect,3906250,85704704,896,342,22308608,22369536,22369536
exact,u64,3,before_collect,3906250,85704704,512,10,83968,650240,650240
exact,u64,3,before_collect,3906250,85704704,1280,12,759040,783360,783360
exact,u64,3,before_collect,3906250,85704704,448,1,8512,65408,65408
exact,u64,3,after_collect,3906250,85704704,8,1,8,4096,65528
exact,u64,3,after_collect,3906250,85704704,64,1,192,65472,65472
exact,u64,3,after_collect,3906250,85704704,640,309,3700480,20171520,20171520
exact,u64,3,after_collect,3906250,85704704,768,356,20268288,23239680,23239680
exact,u64,3,after_collect,3906250,85704704,16,1,32,65520,65520
exact,u64,3,after_collect,3906250,85704704,112,1,112,65520,65520
exact,u64,3,after_collect,3906250,85704704,32,1,416,65504,65504
exact,u64,3,after_collect,3906250,85704704,1024,121,7875584,7929856,7929856
exact,u64,3,after_collect,3906250,85704704,2359296,1,2359296,2359296,2359296
exact,u64,3,after_collect,3906250,85704704,8192,1,8192,8192,65536
exact,u64,3,after_collect,3906250,85704704,896,342,22308608,22369536,22369536
exact,u64,3,after_collect,3906250,85704704,512,10,83968,650240,650240
exact,u64,3,after_collect,3906250,85704704,1280,12,759040,783360,783360
exact,u64,3,after_collect,3906250,85704704,448,1,8512,65408,65408
exact,packed,1,before_collect,3906250,71221248,8,1,8,4096,65528
exact,packed,1,before_collect,3906250,71221248,64,1,192,65472,65472
exact,packed,1,before_collect,3906250,71221248,640,390,24936960,25459200,25459200
exact,packed,1,before_collect,3906250,71221248,512,200,4230144,13004800,13004800
exact,packed,1,before_collect,3906250,71221248,768,187,12168192,12207360,12207360
exact,packed,1,before_collect,3906250,71221248,32,1,448,65504,65504
exact,packed,1,before_collect,3906250,71221248,112,1,112,65520,65520
exact,packed,1,before_collect,3906250,71221248,1024,1,9216,12288,65536
exact,packed,1,before_collect,3906250,71221248,2359296,1,2359296,2359296,2359296
exact,packed,1,before_collect,3906250,71221248,16,1,16,65520,65520
exact,packed,1,before_collect,3906250,71221248,8192,1,8192,8192,65536
exact,packed,1,before_collect,3906250,71221248,896,16,1006208,1046528,1046528
exact,packed,1,before_collect,3906250,71221248,448,65,547008,4251520,4251520
exact,packed,1,before_collect,3906250,71221248,320,1,1280,65280,65280
exact,packed,1,before_collect,3906250,71221248,384,5,42624,326400,326400
exact,packed,1,after_collect,3906250,71221248,8,1,8,4096,65528
exact,packed,1,after_collect,3906250,71221248,64,1,192,65472,65472
exact,packed,1,after_collect,3906250,71221248,640,390,24936960,25459200,25459200
exact,packed,1,after_collect,3906250,71221248,512,200,4230144,13004800,13004800
exact,packed,1,after_collect,3906250,71221248,768,187,12168192,12207360,12207360
exact,packed,1,after_collect,3906250,71221248,32,1,448,65504,65504
exact,packed,1,after_collect,3906250,71221248,112,1,112,65520,65520
exact,packed,1,after_collect,3906250,71221248,1024,1,9216,12288,65536
exact,packed,1,after_collect,3906250,71221248,2359296,1,2359296,2359296,2359296
exact,packed,1,after_collect,3906250,71221248,16,1,16,65520,65520
exact,packed,1,after_collect,3906250,71221248,8192,1,8192,8192,65536
exact,packed,1,after_collect,3906250,71221248,896,16,1006208,1046528,1046528
exact,packed,1,after_collect,3906250,71221248,448,65,547008,4251520,4251520
exact,packed,1,after_collect,3906250,71221248,320,1,1280,65280,65280
exact,packed,1,after_collect,3906250,71221248,384,5,42624,326400,326400
exact,packed,2,before_collect,3906250,71221248,8,1,8,4096,65528
exact,packed,2,before_collect,3906250,71221248,64,1,192,65472,65472
exact,packed,2,before_collect,3906250,71221248,640,390,24936960,25459200,25459200
exact,packed,2,before_collect,3906250,71221248,512,200,4230144,13004800,13004800
exact,packed,2,before_collect,3906250,71221248,768,187,12168192,12207360,12207360
exact,packed,2,before_collect,3906250,71221248,32,1,448,65504,65504
exact,packed,2,before_collect,3906250,71221248,112,1,112,65520,65520
exact,packed,2,before_collect,3906250,71221248,1024,1,9216,12288,65536
exact,packed,2,before_collect,3906250,71221248,2359296,1,2359296,2359296,2359296
exact,packed,2,before_collect,3906250,71221248,16,1,16,65520,65520
exact,packed,2,before_collect,3906250,71221248,8192,1,8192,8192,65536
exact,packed,2,before_collect,3906250,71221248,896,16,1006208,1046528,1046528
exact,packed,2,before_collect,3906250,71221248,448,65,547008,4251520,4251520
exact,packed,2,before_collect,3906250,71221248,320,1,1280,65280,65280
exact,packed,2,before_collect,3906250,71221248,384,5,42624,326400,326400
exact,packed,2,after_collect,3906250,71221248,8,1,8,4096,65528
exact,packed,2,after_collect,3906250,71221248,64,1,192,65472,65472
exact,packed,2,after_collect,3906250,71221248,640,390,24936960,25459200,25459200
exact,packed,2,after_collect,3906250,71221248,512,200,4230144,13004800,13004800
exact,packed,2,after_collect,3906250,71221248,768,187,12168192,12207360,12207360
exact,packed,2,after_collect,3906250,71221248,32,1,448,65504,65504
exact,packed,2,after_collect,3906250,71221248,112,1,112,65520,65520
exact,packed,2,after_collect,3906250,71221248,1024,1,9216,12288,65536
exact,packed,2,after_collect,3906250,71221248,2359296,1,2359296,2359296,2359296
exact,packed,2,after_collect,3906250,71221248,16,1,16,65520,65520
exact,packed,2,after_collect,3906250,71221248,8192,1,8192,8192,65536
exact,packed,2,after_collect,3906250,71221248,896,16,1006208,1046528,1046528
exact,packed,2,after_collect,3906250,71221248,448,65,547008,4251520,4251520
exact,packed,2,after_collect,3906250,71221248,320,1,1280,65280,65280
exact,packed,2,after_collect,3906250,71221248,384,5,42624,326400,326400
exact,packed,3,before_collect,3906250,71221248,8,1,8,4096,65528
exact,packed,3,before_collect,3906250,71221248,64,1,192,65472,65472
