policy,value,run,phase,items,rss,block_size,pages,live_block_bytes,initialized_block_capacity_bytes,reserved_block_capacity_bytes
exact,packed,3,before_collect,3906250,71221248,640,390,24936960,25459200,25459200
exact,packed,3,before_collect,3906250,71221248,512,200,4230144,13004800,13004800
exact,packed,3,before_collect,3906250,71221248,768,187,12168192,12207360,12207360
exact,packed,3,before_collect,3906250,71221248,32,1,448,65504,65504
exact,packed,3,before_collect,3906250,71221248,112,1,112,65520,65520
exact,packed,3,before_collect,3906250,71221248,1024,1,9216,12288,65536
exact,packed,3,before_collect,3906250,71221248,2359296,1,2359296,2359296,2359296
exact,packed,3,before_collect,3906250,71221248,16,1,16,65520,65520
exact,packed,3,before_collect,3906250,71221248,8192,1,8192,8192,65536
exact,packed,3,before_collect,3906250,71221248,896,16,1006208,1046528,1046528
exact,packed,3,before_collect,3906250,71221248,448,65,547008,4251520,4251520
exact,packed,3,before_collect,3906250,71221248,320,1,1280,65280,65280
exact,packed,3,before_collect,3906250,71221248,384,5,42624,326400,326400
exact,packed,3,after_collect,3906250,71221248,8,1,8,4096,65528
exact,packed,3,after_collect,3906250,71221248,64,1,192,65472,65472
exact,packed,3,after_collect,3906250,71221248,640,390,24936960,25459200,25459200
exact,packed,3,after_collect,3906250,71221248,512,200,4230144,13004800,13004800
exact,packed,3,after_collect,3906250,71221248,768,187,12168192,12207360,12207360
exact,packed,3,after_collect,3906250,71221248,32,1,448,65504,65504
exact,packed,3,after_collect,3906250,71221248,112,1,112,65520,65520
exact,packed,3,after_collect,3906250,71221248,1024,1,9216,12288,65536
exact,packed,3,after_collect,3906250,71221248,2359296,1,2359296,2359296,2359296
exact,packed,3,after_collect,3906250,71221248,16,1,16,65520,65520
exact,packed,3,after_collect,3906250,71221248,8192,1,8192,8192,65536
exact,packed,3,after_collect,3906250,71221248,896,16,1006208,1046528,1046528
exact,packed,3,after_collect,3906250,71221248,448,65,547008,4251520,4251520
exact,packed,3,after_collect,3906250,71221248,320,1,1280,65280,65280
exact,packed,3,after_collect,3906250,71221248,384,5,42624,326400,326400
