kind,name,mean_ns,samples
criterion,bajillion::native_proofs::payout_verify/historical/H=1000000 W=1 N=1000000 operations=1000002 floor=0,2091.978413154092,20
criterion,bajillion::native_proofs::payout_verify/historical/H=1024 W=1 N=1000000 operations=1026 floor=0,1243.6369750841282,20
criterion,bajillion::native_proofs::payout_verify/historical/H=65536 W=1 N=1000000 operations=65538 floor=0,1803.4412927683181,20
criterion,bajillion::native_proofs::payout_verify/historical_refreshed/H=1000000 W=1 N=1000000 operations=1000004 floor=0,2074.1361199042085,20
criterion,bajillion::native_proofs::payout_verify/historical_refreshed/H=1024 W=1 N=1000000 operations=1028 floor=0,1246.2560958939735,20
criterion,bajillion::native_proofs::payout_verify/historical_refreshed/H=65536 W=1 N=1000000 operations=65540 floor=0,1824.0255035162743,20
criterion,bajillion::native_proofs::payout_verify/old_after_append/H=0 W=1 N=1000000 operations=5 floor=0,486.2437311767955,20
criterion,bajillion::native_proofs::payout_verify/old_after_append/H=0 W=1000000 N=1000000 operations=1000004 floor=0,2159.446869411563,20
criterion,bajillion::native_proofs::payout_verify/old_after_append/H=0 W=1024 N=1000000 operations=1028 floor=0,1237.1611937178604,20
criterion,bajillion::native_proofs::payout_verify/old_after_append/H=0 W=500000 N=1000000 operations=500004 floor=0,2025.9279533279082,20
criterion,bajillion::native_proofs::payout_verify/old_after_append/H=1000000 W=1 N=1000000 operations=1000006 floor=0,1137.003147485991,20
criterion,bajillion::native_proofs::payout_verify/old_after_append/H=1024 W=1 N=1000000 operations=1030 floor=0,616.2553933816663,20
criterion,bajillion::native_proofs::payout_verify/old_after_append/H=65536 W=1 N=1000000 operations=65542 floor=0,624.6421682068184,20
criterion,bajillion::native_proofs::payout_verify/old_after_floor/H=0 W=1 N=1000000 operations=7 floor=2,491.27847523367564,20
criterion,bajillion::native_proofs::payout_verify/old_after_floor/H=0 W=1000000 N=1000000 operations=1000006 floor=1000001,2644.0644780609773,20
criterion,bajillion::native_proofs::payout_verify/old_after_floor/H=0 W=1024 N=1000000 operations=1030 floor=1025,1246.6169539213156,20
criterion,bajillion::native_proofs::payout_verify/old_after_floor/H=0 W=500000 N=1000000 operations=500006 floor=500001,2509.2474341385414,20
criterion,bajillion::native_proofs::payout_verify/old_after_floor/H=1000000 W=1 N=1000000 operations=1000008 floor=1000003,673.4377647111789,20
criterion,bajillion::native_proofs::payout_verify/old_after_floor/H=1024 W=1 N=1000000 operations=1032 floor=1027,584.1413197202511,20
criterion,bajillion::native_proofs::payout_verify/old_after_floor/H=65536 W=1 N=1000000 operations=65544 floor=65539,598.6912559094452,20
criterion,bajillion::prepare/N=1000000 A=1000000 B=512 K=1 E=1000000,1612635093.4,20
criterion,bajillion::prepare/N=1000000 A=1024 B=512 K=1 E=1024,1162897.75,20
criterion,bajillion::prepare/N=1000000 A=1024 B=512 K=8 E=8192,3295847.4,20
durable_ack,commonware_terminal::chain::da::benches::durable_ack/N=1000000 A=1024 B=512 K=1 W=0 H=0,276161537.3333333,3
durable_ack,commonware_terminal::chain::da::benches::durable_ack/N=1000000 A=1024 B=512 K=8 W=0 H=0,1151880715.3333333,3
durable_ack,commonware_terminal::chain::da::benches::durable_ack/N=1000000 A=1024 B=8 K=8 W=0 H=0,1152647687.6666667,3
